#{"t_start": 1649128181.145049, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.008385
13.0,13,0.009812
18.0,18,0.012017
13.0,13,0.013494
10.0,10,0.014642
16.0,16,0.016225
19.0,19,0.019357
13.0,13,0.020843
53.0,53,0.025934
10.0,10,0.027249
12.0,12,0.028592
21.0,21,0.030686
34.0,34,0.034604
20.0,20,0.036563
34.0,34,0.039853
21.0,21,0.042213
13.0,13,0.043791
24.0,24,0.046407
9.0,9,0.047318
37.0,37,0.051244
31.0,31,0.055811
13.0,13,0.058328
30.0,30,0.061538
18.0,18,0.063362
19.0,19,0.066169
26.0,26,0.069676
15.0,15,0.071183
19.0,19,0.07392
19.0,19,0.075936
21.0,21,0.078273
38.0,38,0.082422
10.0,10,0.083395
19.0,19,0.086252
14.0,14,0.087756
39.0,39,0.091641
51.0,51,0.096692
16.0,16,0.098497
11.0,11,0.099681
21.0,21,0.10214
14.0,14,0.103549
11.0,11,0.104889
11.0,11,0.105964
16.0,16,0.107414
16.0,16,0.108853
34.0,34,0.112419
23.0,23,0.114637
42.0,42,0.11931
13.0,13,0.791285
41.0,41,2.866226
10.0,10,3.222889
22.0,22,4.294109
14.0,14,4.822503
16.0,16,5.583033
11.0,11,6.155714
17.0,17,6.910973
14.0,14,7.688495
21.0,21,8.662838
12.0,12,9.284686
19.0,19,10.275132
13.0,13,10.830252
17.0,17,11.573151
16.0,16,12.349573
13.0,13,12.902481
10.0,10,13.450173
22.0,22,14.735116
16.0,16,15.515588
37.0,37,17.423032
40.0,40,19.377004
12.0,12,19.941044
11.0,11,20.311485
16.0,16,21.046953
11.0,11,21.6486
22.0,22,23.082536
26.0,26,24.186111
37.0,37,25.851476
19.0,19,26.776048
34.0,34,28.442667
9.0,9,28.806217
22.0,22,29.730007
13.0,13,30.518133
20.0,20,31.473315
11.0,11,31.852587
20.0,20,32.820646
10.0,10,33.394064
13.0,13,33.959241
14.0,14,34.71814
23.0,23,35.705724
9.0,9,36.289003
25.0,25,37.448891
37.0,37,39.383949
29.0,29,40.840833
12.0,12,41.441575
17.0,17,42.606302
10.0,10,42.988635
14.0,14,43.748664
17.0,17,44.504063
