#{"t_start": 1649041812.125668, "env_id": "CartPole-v1"}
r,l,t
52.0,52,0.228314
55.0,55,0.575351
29.0,29,0.742221
20.0,20,0.895899
12.0,12,0.980655
19.0,19,1.094304
20.0,20,1.242267
13.0,13,1.346912
29.0,29,1.554983
19.0,19,1.686303
18.0,18,1.826748
20.0,20,1.987233
15.0,15,2.227484
47.0,47,2.706656
37.0,37,3.027195
24.0,24,3.19278
32.0,32,3.332185
14.0,14,3.427736
25.0,25,3.542655
19.0,19,3.630764
9.0,9,3.677212
18.0,18,3.777449
20.0,20,3.872089
30.0,30,4.152442
17.0,17,4.242612
14.0,14,4.317657
15.0,15,4.392408
28.0,28,4.521843
12.0,12,4.572546
11.0,11,4.619896
14.0,14,4.680739
20.0,20,4.76643
27.0,27,4.88809
30.0,30,5.013559
35.0,35,5.152399
30.0,30,5.271664
21.0,21,5.358568
15.0,15,5.416904
25.0,25,5.517755
15.0,15,5.579311
11.0,11,5.624127
13.0,13,5.675909
17.0,17,5.745804
21.0,21,5.830974
